HocoNum,TechType,HighSpeed,population
130754,FTTH,0,2392
130756,Other,0,1745
130757,DOCSIS,0,45674
130757,DSL,0,16794
130759,FTTH,0,4717
130761,DSL,0,4720
130762,DSL,0,16408
130764,DOCSIS,0,12351
130766,DSL,0,785
130767,DSL,0,4064
130768,DSL,0,7366
130768,FTTH,0,2461
130769,DOCSIS,0,19241
130769,DSL,0,6640
130771,FTTH,0,2476
130772,DSL,0,2852
130774,FTTH,0,9599
130774,Other,0,2879
130776,DSL,0,5225
130776,FTTH,0,294
130777,FTTH,0,1532
130778,DSL,0,9752
130778,FTTH,0,7177
130778,Other,0,402
130780,DOCSIS,0,8141
130780,DSL,0,4249
130781,DSL,0,13805
130781,Other,0,58139
130782,DSL,0,2338
130782,FTTH,0,1236
130782,Other,0,9396
130783,DSL,0,2047
130783,FTTH,0,14842
130784,DOCSIS,0,846
130784,DSL,0,7520
130785,DOCSIS,0,17574
130785,DSL,0,17574
130786,DOCSIS,0,41470
130786,DSL,0,16432
130787,DSL,0,1520
130787,Other,0,1520
130788,DOCSIS,0,165124
130790,Other,0,681
130791,DSL,0,123763
130791,FTTH,0,346
130791,FTTH,1,8641
130794,DSL,0,35784
130794,FTTH,0,14227
130796,FTTH,0,1920
130797,FTTH,0,5863
130798,DSL,0,8880
130798,FTTH,0,2526
130799,DSL,0,25958
130799,FTTH,0,14597
130799,FTTH,1,21181
130799,Other,0,34167
130802,DSL,0,908
130803,DSL,0,2410
130803,Other,0,2646
130804,DOCSIS,0,441740
130804,DOCSIS,1,6014341
130805,DSL,0,6594
130805,FTTH,0,6594
130808,Other,0,40575
130809,DOCSIS,0,11988
130810,DSL,0,3507
130814,DSL,0,6687
130814,FTTH,0,1231
130814,Other,0,19787
130817,Other,0,328199
130819,DSL,0,11416
130821,DOCSIS,0,2062
130821,DOCSIS,1,1052276
130825,DSL,0,6859
130826,DOCSIS,0,32743
130826,DSL,0,64114
130826,FTTH,0,6518
130826,Other,0,1034
130827,DSL,0,3360
130828,DSL,0,3087
130828,FTTH,0,10345
130829,Other,0,23899
130831,DSL,0,11173
130831,FTTH,0,4288
130831,Other,0,2865
130833,Other,0,172674
130834,Other,0,522850
130837,DSL,0,1687
130838,DOCSIS,0,3916
130838,DSL,0,22220
130838,FTTH,0,23554
130838,Other,0,132751
130839,DOCSIS,0,3478
130841,DOCSIS,0,69166
130841,DSL,0,67367
130841,FTTH,0,22330
130841,Other,0,76760
130844,DSL,0,16157
130845,DSL,0,2809
130845,FTTH,0,1119
130845,Other,0,2214
130846,DSL,0,4004
130847,DSL,0,9080
130849,DSL,0,7359
130850,DSL,0,4215
130850,FTTH,1,14443
130851,DSL,0,3863
130851,FTTH,0,681
130852,DSL,0,2902
130852,FTTH,0,2902
130853,DSL,0,3919
130853,FTTH,0,3996
130853,Other,0,10087
130854,DSL,0,5322
130854,FTTH,0,1768
130856,DOCSIS,0,1673
130856,DSL,0,1149
130856,FTTH,0,3761
130859,DSL,0,1570
130859,Other,0,150887
130860,DSL,0,7655
130861,DSL,0,5993
130861,FTTH,0,5993
130862,DSL,0,16716
130862,FTTH,1,744
130862,Other,0,15578
130865,FTTH,0,36796
130868,DOCSIS,0,764
130872,DSL,0,215601
130872,FTTH,1,7069
