HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130263,DOCSIS,0,13310,"Citizens Telephone Company of Higginsville, Missouri"
130263,DSL,0,7907,"Citizens Telephone Company of Higginsville, Missouri"
130264,DOCSIS,0,18811,Citizens Telephone Company of Kecksburg
130264,DSL,0,61,Citizens Telephone Company of Kecksburg
130264,FTTH,0,19154,Citizens Telephone Company of Kecksburg
130265,DOCSIS,0,3301,"Citizens Telephone Company, Inc. (GA)"
130265,DSL,0,13095,"Citizens Telephone Company, Inc. (GA)"
130265,FTTH,0,305,"Citizens Telephone Company, Inc. (GA)"
130266,DOCSIS,0,10496,Citizens Telephone Cooperative (VA)
130266,DSL,0,16476,Citizens Telephone Cooperative (VA)
130266,FTTH,0,2417,Citizens Telephone Cooperative (VA)
130267,DSL,0,1198,"Citizens Telephone Cooperative, Inc. (WI)"
130267,FTTH,0,5211,"Citizens Telephone Cooperative, Inc. (WI)"
130268,DSL,0,5639,Citizens Telephone Corporation
130269,DOCSIS,0,2325,"Citizens-Vermont Acquisition Company, Inc."
130269,DSL,0,5756,"Citizens-Vermont Acquisition Company, Inc."
130269,FTTH,0,6434,"Citizens-Vermont Acquisition Company, Inc."
130270,DSL,0,4526,City of Barnesville Municipal Telephone
130271,DSL,0,22010,City of Brookings Telephone Fund
130271,FTTH,0,22010,City of Brookings Telephone Fund
130272,DOCSIS,0,10027,City of Cairo
130274,DSL,0,422,City of Faith Municipal Telephone Company
130274,FTTH,0,214,City of Faith Municipal Telephone Company
130275,DSL,0,13436,City of Ketchikan
130275,FTTH,0,13276,City of Ketchikan
130275,Other,0,111,City of Ketchikan
130278,DOCSIS,0,29309,City of San Bruno
130279,FTTH,0,4812,City of Scottsburg
130279,Other,0,128306,City of Scottsburg
130281,DOCSIS,0,30258,City of Thomasville Utilities
130282,DOCSIS,0,25674,City of Wadsworth
130282,FTTH,0,25674,City of Wadsworth
130283,FTTH,0,4851,City of Windom
130285,DSL,0,4626,"Clarence Telephone Company, Inc."
130285,FTTH,0,4845,"Clarence Telephone Company, Inc."
130285,Other,0,4626,"Clarence Telephone Company, Inc."
130287,DSL,0,654,Clarksville Mutual Telephone Company
130288,DSL,0,2083,"Clay County Rural Telephone Cooperative, Inc."
130288,FTTH,0,32748,"Clay County Rural Telephone Cooperative, Inc."
130289,DOCSIS,0,10515,Clear Creek Mutual Telephone Company
130289,DSL,0,10515,Clear Creek Mutual Telephone Company
130290,DSL,0,6197,Clear Lake Independent Telephone Company
130290,FTTH,0,7299,Clear Lake Independent Telephone Company
130291,DOCSIS,0,2593,Clear Lake Telephone Company
130291,DSL,0,3606,Clear Lake Telephone Company
130292,DSL,0,251611,"Clear Rate Communications, Inc."
130299,DSL,0,1163,Climax Telephone Company
130299,FTTH,0,1067,Climax Telephone Company
130300,DSL,0,3334,Clinton County Telephone Company
130300,FTTH,1,20540,Clinton County Telephone Company
130302,FTTH,0,8807,C-M-L Telephone Cooperative Association
130303,DOCSIS,0,7414,Coast Communications Co. Inc.
130305,FTTH,0,2430,Cochrane Cooperative Telephone Company
130307,DSL,0,2953,"Coleman County Telephone Cooperative, Inc."
130307,FTTH,0,1575,"Coleman County Telephone Cooperative, Inc."
130307,Other,0,7887,"Coleman County Telephone Cooperative, Inc."
130309,FTTH,0,142,COLI Inc.
130309,Other,0,117973,COLI Inc.
130310,FTTH,0,3328,Colo Telephone Company
130311,DSL,0,13473,"Colorado Valley Telephone Cooperative, Inc."
130311,Other,0,24157,"Colorado Valley Telephone Cooperative, Inc."
130312,DSL,0,2914,Colton Telephone Company
130312,FTTH,0,1012,Colton Telephone Company
130314,FTTH,0,8290,Columbus Telephone Company
130315,DSL,0,17353,"First American Holdings, LLC"
130315,Other,0,41876,"First American Holdings, LLC"
130316,Other,0,269895,"Combined Technologies, Inc."
130317,DOCSIS,1,108574053,Comcast Corporation
130321,FTTH,0,6801,"Communications 1 Network, Inc."
130322,DOCSIS,1,584,"Community Antenna Service, Inc."
130324,Other,0,4155,"Community Digital Wireless, LLC"
130325,Other,0,3751,Community Internet Service (IA)
130326,DSL,0,5284,"Community Internet Systems, Inc. (NE)"
130326,Other,0,4583,"Community Internet Systems, Inc. (NE)"
130327,DSL,0,3634,"Community Telephone Co., Inc."
130329,DSL,0,16696,"Computer 5, Inc."
130329,Other,0,39994,"Computer 5, Inc."
130331,Other,0,225717,"Computer Sales & Services, Inc."
130334,DOCSIS,0,73728,ComSouth Corporation
130334,DSL,0,3760,ComSouth Corporation
130334,FTTH,0,14376,ComSouth Corporation
130335,DOCSIS,0,300794,Hickory Tech Corporation
130335,DSL,0,850471,Hickory Tech Corporation
130335,FTTH,1,681413,Hickory Tech Corporation
130337,DOCSIS,0,18326,Consolidated Telcom
130337,DSL,0,1154,Consolidated Telcom
130337,FTTH,0,35213,Consolidated Telcom
130337,Other,0,34521,Consolidated Telcom
130338,DSL,0,24501,Consolidated Telephone Company
130338,FTTH,0,31460,Consolidated Telephone Company
130338,Other,0,14185,Consolidated Telephone Company
130340,DOCSIS,0,60799,Conway Corporation
130343,DSL,0,9432,Coon Creek Telephone Company
130344,DSL,0,5104,"Coon Valley Cooperative Telephone Association, Inc."
130344,Other,0,5104,"Coon Valley Cooperative Telephone Association, Inc."
130345,DSL,0,3911,"Coon Valley Farmers Telephone Company, Inc."
130345,FTTH,0,1919,"Coon Valley Farmers Telephone Company, Inc."
130346,DSL,0,5410,Cooperative Telephone Company
130346,Other,0,5410,Cooperative Telephone Company
130347,DSL,0,3241,Cooperative Telephone Exchange
130348,DOCSIS,0,40930,Coosa Cable Company/Cable Vision Services
130349,DSL,0,6565,Copper Valley Telephone Cooperative
130352,DSL,0,1962,"Cordova Telephone Cooperative, Inc."
130353,DSL,0,2424,Corn Belt Telephone Company
130353,FTTH,0,3043,Corn Belt Telephone Company
130353,Other,0,1207,Corn Belt Telephone Company
130360,DOCSIS,1,20766385,"Cox Communications, Inc."
130361,DSL,0,2832,Cozad Telephone Company
130361,FTTH,0,2377,Cozad Telephone Company
130362,DSL,0,6002,"CP-Tel Holdings, Inc."
130362,FTTH,0,12369,"CP-Tel Holdings, Inc."
130363,DSL,0,5363,"Craigville Telephone Company, Inc."
130363,FTTH,0,10289,"Craigville Telephone Company, Inc."
130364,DSL,0,30868,Craw-Kan
130364,FTTH,0,8874,Craw-Kan
130364,Other,0,3862,Craw-Kan
130366,DSL,0,19389,Cross Telephone Company LLC
130366,FTTH,0,4131,Cross Telephone Company LLC
130366,Other,0,215,Cross Telephone Company LLC
130367,DOCSIS,0,522,Crosslake Telephone Company
130367,DSL,0,1201,Crosslake Telephone Company
130367,FTTH,0,1698,Crosslake Telephone Company
130368,DSL,0,802,"Crossville Consolidated Communications, Inc."
130369,FTTH,0,1832,Crown Point Telephone Corporation
130370,DOCSIS,1,12594664,"CSC Holdings, LLC"
130374,DSL,0,2737,Cumberland Telephone Company
130374,Other,0,5091,Cumberland Telephone Company
130375,DSL,0,6918,"Cumby Telephone Cooperative, Inc."
130375,FTTH,0,1709,"Cumby Telephone Cooperative, Inc."
130378,DOCSIS,0,3403,Custer Telephone Cooperative Inc.
130378,DSL,0,2920,Custer Telephone Cooperative Inc.
130378,FTTH,0,4593,Custer Telephone Cooperative Inc.
130378,Other,0,5684,Custer Telephone Cooperative Inc.
130380,DSL,0,10873,"Cutter Communications, Inc."
130380,FTTH,0,3,"Cutter Communications, Inc."
130385,DOCSIS,0,26242,"D & P Communications, Inc."
130385,DSL,0,20882,"D & P Communications, Inc."
130385,FTTH,1,9464,"D & P Communications, Inc."
130385,Other,0,28739,"D & P Communications, Inc."
130386,DSL,0,26405,"D D & B, Inc."
130386,FTTH,0,1849,"D D & B, Inc."
130387,FTTH,0,24358,Dakota Central Telecommunications Cooperative
130387,Other,0,1166,Dakota Central Telecommunications Cooperative
130390,DSL,0,6235,Danville Mutual Telephone Company (iconnectyou)
130390,FTTH,1,11238,Danville Mutual Telephone Company (iconnectyou)
130390,Other,0,11238,Danville Mutual Telephone Company (iconnectyou)
130391,DOCSIS,0,11769,"Darien Telephone Company, Inc."
130391,DSL,0,5548,"Darien Telephone Company, Inc."
130393,DSL,0,14948,Daviess-Martin County RTC
130393,FTTH,0,14948,Daviess-Martin County RTC
130395,DSL,0,6574,"Decatur Holding Company, Inc."
130396,DSL,0,47018,"DeKalb Telephone Cooperative, Inc."
130396,FTTH,0,5415,"DeKalb Telephone Cooperative, Inc."
130398,DSL,0,5834,Delcambre Telephone Co.
130398,FTTH,0,5834,Delcambre Telephone Co.
130399,DSL,0,3219,Delhi Telephone Company
130399,FTTH,0,5324,Delhi Telephone Company
130400,DSL,0,1246,"Dell Telephone Cooperative, Inc."
130400,FTTH,0,4390,"Dell Telephone Cooperative, Inc."
130400,Other,0,12885,"Dell Telephone Cooperative, Inc."
130401,DSL,0,33377,Delta Communications
130401,FTTH,0,477,Delta Communications
130401,Other,0,654,Delta Communications
130402,Other,0,799,"DerbyTech, Inc."
130405,FTTH,1,19270,Dickey Rural Telephone Cooperative
130405,Other,0,34423,Dickey Rural Telephone Cooperative
130410,DOCSIS,0,4904,Dixon Telephone Company
130416,DOCSIS,0,10339,Doylestown Telephone Company
130416,DSL,0,10412,Doylestown Telephone Company
130416,FTTH,0,8712,Doylestown Telephone Company
130418,DSL,0,5030529,"Platinum Equity, LLC"
130419,DOCSIS,0,159,Dumont Telephone Company
