,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
1674,30003,2.0,1.0,9.0,14.0,1.0,1.0,9.0,12.0,1.0,1.0,8.0,12.0,1.0,1.0,9.0,13.0,1.0,1.0,8.0,12.0,2.0,1.0,8.0,14.0,2.0,1.0,8.0,14.0,2.0,1.0,9.0,15.0,1,30,11670.0,1830,MT,30003,109574.0
1675,30005,1.0,1.0,2.0,5.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1,30,6447.0,1946,MT,30005,94014.0
1676,30007,1.0,1.0,4.0,10.0,1.0,1.0,5.0,11.0,1.0,1.0,5.0,12.0,1.0,1.0,4.0,10.0,1.0,1.0,4.0,11.0,1.0,1.0,4.0,11.0,1.0,1.0,4.0,11.0,1.0,1.0,5.0,12.0,1,30,5612.0,1816,MT,30007,213669.0
1677,30009,1.0,2.0,7.0,13.0,0.0,2.0,11.0,18.0,0.0,2.0,10.0,15.0,0.0,2.0,8.0,13.0,1.0,2.0,7.0,14.0,1.0,2.0,7.0,15.0,1.0,2.0,7.0,14.0,1.0,2.0,7.0,17.0,1,30,9369.0,1535,MT,30009,232882.0
1678,30011,3.0,0.0,4.0,10.0,3.0,0.0,4.0,8.0,3.0,0.0,4.0,8.0,2.0,0.0,5.0,8.0,2.0,0.0,5.0,8.0,3.0,0.0,5.0,9.0,3.0,0.0,4.0,9.0,3.0,0.0,4.0,9.0,1,30,905.0,538,MT,30011,107273.0
1679,30013,4.0,1.0,10.0,22.0,1.0,1.0,7.0,16.0,2.0,1.0,8.0,17.0,2.0,1.0,7.0,15.0,2.0,1.0,8.0,17.0,4.0,1.0,8.0,19.0,3.0,1.0,9.0,19.0,4.0,1.0,9.0,21.0,1,30,81327.0,4375,MT,30013,182397.0
1680,30015,2.0,1.0,2.0,8.0,2.0,1.0,4.0,11.0,2.0,1.0,3.0,10.0,2.0,1.0,3.0,9.0,2.0,1.0,3.0,9.0,2.0,1.0,2.0,7.0,2.0,1.0,2.0,7.0,2.0,1.0,2.0,8.0,1,30,5498.0,1318,MT,30015,134776.0
1681,30017,2.0,1.0,8.0,12.0,1.0,2.0,8.0,13.0,1.0,2.0,8.0,12.0,1.0,2.0,8.0,13.0,1.0,2.0,9.0,13.0,2.0,2.0,9.0,14.0,2.0,2.0,9.0,14.0,2.0,2.0,8.0,13.0,1,30,11346.0,1112,MT,30017,172031.0
1682,30019,1.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1,30,1746.0,524,MT,30019,135324.0
1683,30021,1.0,1.0,4.0,6.0,1.0,2.0,5.0,8.0,1.0,2.0,4.0,7.0,1.0,2.0,5.0,8.0,1.0,2.0,4.0,7.0,1.0,2.0,4.0,7.0,1.0,2.0,4.0,7.0,1.0,2.0,4.0,7.0,1,30,8936.0,1072,MT,30021,169072.0
1684,30023,1.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,6.0,2.0,1.0,3.0,6.0,2.0,1.0,3.0,7.0,1.0,1.0,4.0,7.0,1,30,7561.0,674,MT,30023,127873.0
1685,30025,2.0,0.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,6.0,1,30,2877.0,876,MT,30025,168963.0
