HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130431,485.0,384.0,101.0,485,0.0,0.0,0.0,485,0.0,0.0,0.0,1555,"Eagle Telephone Systems, Inc."
130432,147237.0,88667.0,58570.0,143122,1.0,88667.0,0.6195204091614147,162569,1.0,147237.0,0.9056892765533404,955,EATEL Corp.
130437,29.0,0.0,29.0,6257,1.0,28.0,0.004474988013424964,6206,1.0,28.0,0.0045117628101836935,1398,"Eastern Indiana WIFI, Inc."
130439,4968.0,0.0,4968.0,10546,0.0,0.0,0.0,11021,0.0,0.0,0.0,1124,"Easteron Slope Rural Telephone Association, Inc."
130440,4951.0,0.0,4951.0,77347,0.0,0.0,0.0,78009,1.0,112.0,0.0014357317745388352,38,"Eastex Telephone Cooperative, Inc."
130448,524.0,0.0,524.0,23108,0.0,0.0,0.0,26059,0.0,0.0,0.0,627,Ellerbe Telephone Company
130449,1912.0,0.0,1912.0,3594,0.0,0.0,0.0,3594,0.0,0.0,0.0,1676,Ellington Telephone Company
130450,2784.0,4063.0,-1279.0,4063,0.0,0.0,0.0,2784,0.0,0.0,0.0,1399,Ellsworth Cooperative Telephone Association
130453,28622.0,23854.0,4768.0,41308,1.0,23854.0,0.5774668345114747,44574,1.0,4522.0,0.10144927536231885,1498,Emery Telcom
130454,2407.0,24467.0,-22060.0,24467,0.0,0.0,0.0,2407,1.0,2407.0,1.0,1573,Emily Cooperative Telephone Company
130455,93930.0,47852.0,46078.0,69363,1.0,41652.0,0.6004930582587258,115441,1.0,87730.0,0.7599553018424996,1758,Empire Long Distance Corporation
130458,79831.0,21678.0,58153.0,121860,1.0,6913.0,0.05672903331692106,148609,1.0,64994.0,0.4373490165467771,279,"ENMR Telephone Cooperative, Inc."
130459,543270.0,475548.0,67722.0,475548,1.0,475548.0,1.0,543270,1.0,543270.0,1.0,1720,"En-Touch Systems, Inc"
130460,2539.0,0.0,2539.0,2508,0.0,0.0,0.0,2539,0.0,0.0,0.0,435,Epic Touch Company
130464,25160.0,0.0,25160.0,44994,0.0,0.0,0.0,46551,1.0,19294.0,0.41447015101716395,550,"Etex Telephone Cooperative, Inc."
130472,6741.0,7686.0,-945.0,9757,0.0,0.0,0.0,7678,0.0,0.0,0.0,749,Farmers & Merchants Mutual Telephone Company
130473,4014.0,2871.0,1143.0,5444,0.0,0.0,0.0,5810,1.0,4014.0,0.6908777969018933,497,"F&B Communications, Inc."
130475,4842.0,8516.0,-3674.0,8516,1.0,8516.0,1.0,4842,1.0,4842.0,1.0,530,Farmers Cooperative Telephone Company-Dysart
130476,3507.0,958.0,2549.0,5772,0.0,0.0,0.0,5744,1.0,22.0,0.00383008356545961,1590,Farmers Independent Telephone Company
130477,7346.0,3532.0,3814.0,8983,0.0,0.0,0.0,10466,0.0,0.0,0.0,520,Farmers Mutual Cooperative Telephone Company-Harlan
130478,1235.0,1074.0,161.0,1074,0.0,0.0,0.0,1235,0.0,0.0,0.0,382,Farmers Mutual Cooperative Telephone Company-Moulton
130479,4130.0,1128.0,3002.0,7939,0.0,0.0,0.0,8180,1.0,3855.0,0.4712713936430318,947,Farmers Mutual Telephone Company (ID)
130481,1489.0,0.0,1489.0,71065,0.0,0.0,0.0,92170,0.0,0.0,0.0,737,Farmers Mutual Telephone Company (OH)
130482,6434.0,4970.0,1464.0,4970,1.0,4970.0,1.0,6434,1.0,6434.0,1.0,506,"Farmers Mutual Telephone Company of Stanton, Iowa"
130483,5377.0,5377.0,0.0,5697,0.0,0.0,0.0,5697,1.0,5377.0,0.9438300860101808,416,Farmers Mutual Telephone Company-Jesup
130484,16987.0,11950.0,5037.0,15486,0.0,0.0,0.0,20523,1.0,15486.0,0.7545680456073673,502,Farmers Mutual Telephone Company-Nora Springs
