HocoNum,HighSpeed,population
190285,0,11845
190303,0,3225
190303,1,28762
190304,1,197
190308,0,83932
190309,0,3294333
190311,0,1316602
190312,0,125810
190313,0,34982
190320,0,68881
190323,0,20005
190335,0,1711
190336,0,8582
190337,0,4730
190341,0,14683
190342,0,2508507
190347,0,41355
190365,0,10910
190367,0,38382
190370,0,991
190380,0,14718
190380,1,108671
190381,0,212320
190381,1,3510
190405,1,8402
190406,0,72
190407,0,57584
190410,0,2116
190410,1,6816
190416,0,20747
190419,0,106315
190425,0,2696629
190425,1,271763
190428,0,9983
190429,0,9407
190438,0,63277
190443,0,16591
190448,0,234778
190501,0,13965
190503,0,10456
190504,0,20586
190504,1,87261
190506,0,54805
200006,0,22180
200010,0,9905
200012,1,73949
200020,0,999159
200022,1,27029
200025,0,264
200026,0,4836
200027,0,470126
200027,1,4261
200029,0,9241
200029,1,124470
200032,0,2590796
200039,1,137
200041,0,766876
200044,0,862
200046,0,97821
200048,0,7369
200057,0,6199
200065,0,46466
200070,0,1207
210001,0,1177
210006,0,74302
210017,0,283
210018,0,272748
210018,1,4727
210019,1,50920
210020,0,14256
210040,0,20041
210042,0,47960
210046,0,7464
210063,0,13915
210063,1,0
210069,0,51472
210069,1,2828
210075,0,560
210080,0,495
210087,0,21145
210087,1,6684
210090,0,1292
210092,0,94945
210095,0,42715
210101,0,76837
210101,1,2656145
210103,0,21273
210105,0,2699
220002,0,4769
220007,0,15626
220008,0,5979
220012,0,2219
220013,0,17283
220015,0,1406552
220016,0,20791
220017,0,439
220017,1,3059
220027,0,57076
220028,0,3714
220030,0,5491
220031,1,5222
220036,0,4696
220046,0,21383
220048,0,312230
220052,1,6621
220056,0,38503
220058,0,9307
220061,0,233512
220064,0,13103
220066,0,30762
220071,0,2770
220073,0,33739
220075,0,10683
220076,0,2232
220078,0,3602
220079,0,48027
220079,1,13996
230006,1,9479
230010,0,325934
230010,1,79686
230017,0,275015
230018,0,9143
230021,0,69878
230025,0,11585
230026,0,1020
230028,0,38636
230029,0,19884
230033,0,9415
230036,0,7412
230039,0,541
230043,0,56995
230043,1,2592
230044,0,88509
230050,0,263
230051,1,180544
230052,0,128329
230052,1,423858
230062,0,193761
230064,0,65087
230074,0,6894
230074,1,318
230076,0,14695
240003,0,250353
240004,0,176365
240008,0,21130
240009,0,171925
240010,0,5008202
240011,0,793
240012,0,8947
240014,0,19141
240016,0,7713
240017,0,13976
240021,0,2375
240022,0,15174
240025,0,2220
240031,0,18702
240032,1,30668
240035,0,7089
240036,0,64682
240041,0,58047
240041,1,2148762
240044,1,9735
240046,0,4021
240051,0,3978
240055,0,1844
240056,1,940769
240058,0,182269
240060,0,5334
240061,1,40558
240062,0,139
240063,0,198
240064,1,1346
240065,0,23334
240066,0,534754
240066,1,11352
240068,0,16914
240070,0,7471
240072,0,38869
240074,0,842172
240077,0,3511
240080,0,2841
240081,0,1667
240085,0,14570
240086,0,4
